0: ['訂單編號', '顧客姓名', '會員編號', 'e-mail', '聯絡電話', '書籍名稱', '購買金額（元）', '購買日期']
18: ['ORD-2026-0018', '吳俊傑', 'MBR-59009', 'user880@yahoo.com.tw', '0979-897-643', '原子習慣：細微改變帶來巨大成就', '380', '2026-06-03']
19: ['ORD-2026-0019', '許哲瑋', 'MBR-12552', 'user214@hotmail.com', '0949-345-159', '系統架構設計與微服務實踐', '850', '2026-05-26']
20: ['ORD-2026-0020', '黃家豪', 'MBR-73699', 'user935@gmail.com', '0978-884-228', '心理學家教你提升心理韌性', '350', '2026-06-18']
21: ['ORD-2026-0021', '邱孟儒', 'MBR-31643', 'user371@outlook.com', '0987-533-316', '持續買進：資料科學家的投資百寶箱', '420', '2026-07-13']
22: ['ORD-2026-0022', '吳靜宜', 'MBR-62296', 'user787@hotmail.com', '0966-629-562', '富爸爸，窮爸爸', '360', '2026-03-05']
23: ['ORD-2026-0023', '劉家豪', 'MBR-54313', 'user121@outlook.com', '0980-335-702', '系統架構設計與微服務實踐', '850', '2026-01-02']
24: ['ORD-2026-0024', '黃宗翰', 'MBR-40007', 'user169@gmail.com', '0952-172-626', '系統架構設計與微服務實踐', '850', '2026-03-13']
25: ['ORD-2026-0025', '邱雅琪', 'MBR-80678', 'user235@outlook.com', '0983-584-348', '致富心態：關於財富、貪婪與幸福的20堂理財課', '400', '2026-07-26']
26: ['ORD-2026-0026', '郭雅琪', 'MBR-22363', 'user199@icloud.com', '0955-533-520', '情緒勒索：建立良好的自我價值感', '330', '2026-07-06']
27: ['ORD-2026-0027', '林建宏', 'MBR-17944', 'user512@hotmail.com', '0923-354-296', '深度學習：從基礎理論到 PyTorch 實作', '780', '2026-05-18']
28: ['ORD-2026-0028', '洪俊傑', 'MBR-65296', 'user287@hotmail.com', '0969-355-995', '投資最重要的事：頂尖價值投資者切實履行的核心法則', '450', '2026-04-24']
29: ['ORD-2026-0029', '廖建宏', 'MBR-16630', 'user767@outlook.com', '0911-195-871', '系統架構設計與微服務實踐', '850', '2026-02-12']
30: ['ORD-2026-0030', '郭哲瑋', 'MBR-73092', 'user318@icloud.com', '0917-268-488', '原子習慣：細微改變帶來巨大成就', '380', '2026-04-10']
31: ['ORD-2026-0031', '蔡欣妤', 'MBR-47388', 'user533@outlook.com', '0994-835-598', '心理學家教你提升心理韌性', '350', '2026-02-18']
32: ['ORD-2026-0032', '楊雅琪', 'MBR-17665', 'user693@outlook.com', '0917-865-421', '被討厭的勇氣：自我啟發之父「阿德勒」的教導', '320', '2026-01-13']
33: ['ORD-2026-0033', '賴哲瑋', 'MBR-75909', 'user973@outlook.com', '0930-158-620', '投資最重要的事：頂尖價值投資者切實履行的核心法則', '450', '2026-02-17']
34: ['ORD-2026-0034', '黃郁婷', 'MBR-18907', 'user791@yahoo.com.tw', '0961-222-683', '系統架構設計與微服務實踐', '850', '2026-05-29']
35: ['ORD-2026-0035', '徐宗翰', 'MBR-91183', 'user183@icloud.com', '0994-697-678', '快思慢想與商業決策', '460', '2026-03-22']
36: ['ORD-2026-0036', '蔡雅琪', 'MBR-97782', 'user833@hotmail.com', '0940-371-505', '心理學家教你提升心理韌性', '350', '2026-06-21']
37: ['ORD-2026-0037', '楊欣妤', 'MBR-51441', 'user869@gmail.com', '0911-569-736', '莫斯科紳士', '450', '2026-01-26']
38: ['ORD-2026-0038', '黃孟儒', 'MBR-37938', 'user618@hotmail.com', '0926-457-170', '系統架構設計與微服務實踐', '850', '2026-04-05']
39: ['ORD-2026-0039', '楊雅婷', 'MBR-67433', 'user953@outlook.com', '0948-726-926', '快思慢想與商業決策', '460', '2026-01-03']
40: ['ORD-2026-0040', '廖靜宜', 'MBR-96951', 'user206@yahoo.com.tw', '0943-218-209', '持續買進：資料科學家的投資百寶箱', '420', '2026-02-09']
41: ['ORD-2026-0041', '蔡靜宜', 'MBR-89276', 'user315@hotmail.com', '0936-803-749', '人類簡史：從動物到上帝', '520', '2026-05-10']
42: ['ORD-2026-0042', '邱詩婷', 'MBR-16658', 'user194@icloud.com', '0945-145-103', '納瓦爾寶典：從白手起家到財務自由', '420', '2026-07-17']
43: ['ORD-2026-0043', '李詩婷', 'MBR-31178', 'user859@icloud.com', '0980-822-537', '持續買進：資料科學家的投資百寶箱', '420', '2026-01-03']
44: ['ORD-2026-0044', '張家豪', 'MBR-29536', 'user658@gmail.com', '0957-696-665', '心理學家教你提升心理韌性', '350', '2026-04-21']
45: ['ORD-2026-0045', '李宗翰', 'MBR-50404', 'user473@gmail.com', '0955-315-798', '系統架構設計與微服務實踐', '850', '2026-06-20']
46: ['ORD-2026-0046', '張子軒', 'MBR-83385', 'user995@icloud.com', '0989-867-258', '系統架構設計與微服務實踐', '850', '2026-02-11']
47: ['ORD-2026-0047', '王佩珊', 'MBR-13248', 'user283@hotmail.com', '0962-921-785', '系統架構設計與微服務實踐', '850', '2026-03-10']
48: ['ORD-2026-0048', '王建宏', 'MBR-60140', 'user993@gmail.com', '0970-327-304', '情緒勒索：建立良好的自我價值感', '330', '2026-03-31']
49: ['ORD-2026-0049', '楊怡君', 'MBR-39219', 'user124@yahoo.com.tw', '0961-436-385', '投資最重要的事：頂尖價值投資者切實履行的核心法則', '450', '2026-07-17']
50: ['ORD-2026-0050', '蔡子軒', 'MBR-94080', 'user621@icloud.com', '0996-963-649', '納瓦爾寶典：從白手起家到財務自由', '420', '2026-01-08']
51: ['ORD-2026-0051', '張詩婷', 'MBR-33405', 'user694@hotmail.com', '0914-211-710', '蛤蟆先生去看心理師', '300', '2026-03-30']
52: ['ORD-2026-0052', '許佩珊', 'MBR-89457', 'user623@gmail.com', '0959-690-294', '人類簡史：從動物到上帝', '520', '2026-01-12']
53: ['ORD-2026-0053', '郭冠宇', 'MBR-78146', 'user925@outlook.com', '0997-836-859', '深度學習：從基礎理論到 PyTorch 實作', '780', '2026-04-04']
54: ['ORD-2026-0054', '郭家豪', 'MBR-97062', 'user438@outlook.com', '0950-779-968', '富爸爸，窮爸爸', '360', '2026-07-04']
55: ['ORD-2026-0055', '楊佳穎', 'MBR-50538', 'user782@icloud.com', '0951-512-813', '思考，快與慢', '480', '2026-05-22']
56: ['ORD-2026-0056', '李雅琪', 'MBR-65108', 'user780@icloud.com', '0996-866-278', '三體全集（套書）', '1200', '2026-05-26']
57: ['ORD-2026-0057', '楊家瑋', 'MBR-81819', 'user953@gmail.com', '0948-393-315', '蛤蟆先生去看心理師', '300', '2026-07-21']
58: ['ORD-2026-0058', '賴郁婷', 'MBR-95813', 'user429@icloud.com', '0966-552-791', '深度學習：從基礎理論到 PyTorch 實作', '780', '2026-05-11']
59: ['ORD-2026-0059', '邱雅婷', 'MBR-96356', 'user186@hotmail.com', '0975-779-748', '三體全集（套書）', '1200', '2026-03-27']
60: ['ORD-2026-0060', '黃怡君', 'MBR-98184', 'user417@yahoo.com.tw', '0935-250-125', '被討厭的勇氣：自我啟發之父「阿德勒」的教導', '320', '2026-03-04']
61: ['ORD-2026-0061', '邱郁婷', 'MBR-19545', 'user566@icloud.com', '0990-689-299', '底層邏輯：看清思考本質的9點法則', '390', '2026-05-07']
62: ['ORD-2026-0062', '謝怡君', 'MBR-29342', 'user771@gmail.com', '0923-897-535', '系統架構設計與微服務實踐', '850', '2026-02-15']
63: ['ORD-2026-0063', '曾欣妤', 'MBR-16582', 'user670@yahoo.com.tw', '0925-567-236', '情緒勒索：建立良好的自我價值感', '330', '2026-06-20']
64: ['ORD-2026-0064', '曾孟儒', 'MBR-88047', 'user424@icloud.com', '0988-934-836', '快思慢想與商業決策', '460', '2026-04-20']
65: ['ORD-2026-0065', '廖欣妤', 'MBR-30861', 'user861@icloud.com', '0967-365-869', '系統架構設計與微服務實踐', '850', '2026-08-04']
66: ['ORD-2026-0066', '蔡佳穎', 'MBR-73517', 'user741@yahoo.com.tw', '0945-550-179', '思考，快與慢', '480', '2026-03-02']
67: ['ORD-2026-0067', '蔡柏翰', 'MBR-51904', 'user653@gmail.com', '0927-254-336', '底層邏輯：看清思考本質的9點法則', '390', '2026-06-27']
68: ['ORD-2026-0068', '李雅琪', 'MBR-18418', 'user524@icloud.com', '0952-655-577', '蛤蟆先生去看心理師', '300', '2026-01-16']
69: ['ORD-2026-0069', '吳佩珊', 'MBR-61049', 'user888@outlook.com', '0999-120-977', '莫斯科紳士', '450', '2026-04-08']
70: ['ORD-2026-0070', '邱冠宇', 'MBR-56105', 'user405@icloud.com', '0963-651-865', '持續買進：資料科學家的投資百寶箱', '420', '2026-07-24']
71: ['ORD-2026-0071', '徐怡君', 'MBR-73993', 'user324@hotmail.com', '0965-597-129', '底層邏輯：看清思考本質的9點法則', '390', '2026-03-28']
72: ['ORD-2026-0072', '謝雅婷', 'MBR-71261', 'user230@outlook.com', '0978-127-503', '莫斯科紳士', '450', '2026-05-25']
73: ['ORD-2026-0073', '陳家豪', 'MBR-94246', 'user538@yahoo.com.tw', '0969-286-151', '人類簡史：從動物到上帝', '520', '2026-04-08']
74: ['ORD-2026-0074', '許雅琪', 'MBR-69598', 'user434@hotmail.com', '0958-384-870', '蛤蟆先生去看心理師', '300', '2026-03-06']
75: ['ORD-2026-0075', '黃哲瑋', 'MBR-12540', 'user867@outlook.com', '0916-458-329', '投資最重要的事：頂尖價值投資者切實履行的核心法則', '450', '2026-07-19']
76: ['ORD-2026-0076', '林冠宇', 'MBR-42411', 'user304@gmail.com', '0989-256-344', '心理學家教你提升心理韌性', '350', '2026-05-02']
77: ['ORD-2026-0077', '張品妤', 'MBR-38569', 'user576@hotmail.com', '0957-271-720', '三體全集（套書）', '1200', '2026-07-11']
78: ['ORD-2026-0078', '張雅婷', 'MBR-50768', 'user210@outlook.com', '0913-419-689', '底層邏輯：看清思考本質的9點法則', '390', '2026-04-12']
79: ['ORD-2026-0079', '吳家豪', 'MBR-87607', 'user807@yahoo.com.tw', '0923-813-891', '思考，快與慢', '480', '2026-06-25']
80: ['ORD-2026-0080', '徐建宏', 'MBR-84177', 'user901@gmail.com', '0954-645-538', '晶片戰爭：全球最關鍵技術的爭奪戰', '550', '2026-01-18']
81: ['ORD-2026-0081', '曾柏翰', 'MBR-11658', 'user969@icloud.com', '0972-208-543', '晶片戰爭：全球最關鍵技術的爭奪戰', '550', '2026-06-12']
82: ['ORD-2026-0082', '洪俊傑', 'MBR-67080', 'user280@outlook.com', '0993-376-730', '持續買進：資料科學家的投資百寶箱', '420', '2026-07-18']
83: ['ORD-2026-0083', '邱欣妤', 'MBR-67091', 'user945@outlook.com', '0944-430-972', '系統架構設計與微服務實踐', '850', '2026-08-01']
84: ['ORD-2026-0084', '黃詩婷', 'MBR-69087', 'user349@icloud.com', '0982-724-784', '底層邏輯：看清思考本質的9點法則', '390', '2026-03-28']
85: ['ORD-2026-0085', '陳哲瑋', 'MBR-52600', 'user286@icloud.com', '0937-463-916', '人類簡史：從動物到上帝', '520', '2026-03-29']
86: ['ORD-2026-0086', '蔡郁婷', 'MBR-46211', 'user669@gmail.com', '0976-295-187', '系統架構設計與微服務實踐', '850', '2026-07-04']
87: ['ORD-2026-0087', '郭哲瑋', 'MBR-82768', 'user876@yahoo.com.tw', '0998-587-761', '致富心態：關於財富、貪婪與幸福的20堂理財課', '400', '2026-04-25']
88: ['ORD-2026-0088', '陳家豪', 'MBR-48566', 'user326@icloud.com', '0998-349-413', '莫斯科紳士', '450', '2026-04-05']
89: ['ORD-2026-0089', '邱孟儒', 'MBR-79588', 'user452@icloud.com', '0980-438-460', '情緒勒索：建立良好的自我價值感', '330', '2026-03-11']
90: ['ORD-2026-0090', '楊詩婷', 'MBR-40217', 'user223@yahoo.com.tw', '0950-222-860', '持續買進：資料科學家的投資百寶箱', '420', '2026-07-15']
91: ['ORD-2026-0091', '王雅琪', 'MBR-38361', 'user856@icloud.com', '0945-841-703', '快思慢想與商業決策', '460', '2026-06-02']
92: ['ORD-2026-0092', '楊建宏', 'MBR-35443', 'user403@yahoo.com.tw', '0956-283-409', '原子習慣：細微改變帶來巨大成就', '380', '2026-07-01']
93: ['ORD-2026-0093', '廖俊傑', 'MBR-45954', 'user146@gmail.com', '0980-399-814', '心理學家教你提升心理韌性', '350', '2026-06-13']
94: ['ORD-2026-0094', '邱建宏', 'MBR-11607', 'user687@hotmail.com', '0970-590-551', '納瓦爾寶典：從白手起家到財務自由', '420', '2026-02-17']
95: ['ORD-2026-0095', '林詩婷', 'MBR-72616', 'user216@gmail.com', '0961-603-175', '莫斯科紳士', '450', '2026-06-11']
96: ['ORD-2026-0096', '林俊傑', 'MBR-29555', 'user930@outlook.com', '0948-187-354', '富爸爸，窮爸爸', '360', '2026-05-23']
97: ['ORD-2026-0097', '郭郁婷', 'MBR-88135', 'user909@outlook.com', '0938-894-635', '底層邏輯：看清思考本質的9點法則', '390', '2026-04-26']
98: ['ORD-2026-0098', '洪靜宜', 'MBR-87139', 'user539@hotmail.com', '0982-735-161', '三體全集（套書）', '1200', '2026-07-09']
99: ['ORD-2026-0099', '張雅琪', 'MBR-91987', 'user316@hotmail.com', '0994-183-260', '系統架構設計與微服務實踐', '850', '2026-02-14']
100: ['ORD-2026-0100', '廖家豪', 'MBR-30517', 'user102@icloud.com', '0967-805-708', '致富心態：關於財富、貪婪與幸福的20堂理財課', '400', '2026-03-16']
